id,en_name,ar_name,am_name,population,density,multidimensional poverty index (in %),illiteracy rate,unemployment rate,fertility rate,number of households,proportion of singles,proportion of married,proportion of divorced
11332,Béni Mellal-Khénifra,بني ملال - خنيفرة,ⴰⵢⵜ ⵎⵍⵍⴰⵍ - ⵅⵏⵉⴼⵕⴰ,2520776,93.11,42.56,39.09,15.6,2.3,520174,51.18,42.57,1.79
11328,Casablanca-Settat,الدار البيضاء - سطات,ⴰⵏⴼⴰ - ⵙⵟⵟⴰⵜ,6861739,339,38.55,26.22,16.3,2.13,1559404,52.18,41.97,1.81
11335,Dakhla-Oued Ed-Daha,الداخلة-واد الذهب,ⴷⴷⴰⵅⵍⴰ ⴰⵙⵉⴼ ⵏ ⵡⵓⵕⵖ,142955,0.84,35.14,22.32,10.1,2.91,29385,54.92,41.36,2.15
11336,Drâa-Tafilalet,درعة - تافيلالت,ⴷⵔⴰ ⵜⴰⴼⵉⵍⴰⵍⵜ,1635008,18.55,42.19,34.46,15.5,2.71,277998,55.47,39.13,1.71
11327,Fez-Meknes,فاس-مكناس,ⴼⴰⵙ-ⵎⴽⵏⴰⵙ,4236892,108,40.48,34.66,16.5,2.13,919497,53.19,41.49,1.44
11333,Guelmim-Oued Noun,ڭلميم-وادي نون,ⴳⵓⵍⵎⵉⵎ ⴰⵙⵉⴼ ⵏⵓⵏ,433757,8.25,39.68,32.85,27.1,2.26,90202,55.16,39.35,1.58
11334,Laâyoune-Sakia El Hamra,العيون - الساقية الحمراء, ⵍⵄⵢⵓⵏ ⵜⴰⵔⴳⴰ ⵜⴰⵣⴳⴳⵯⴰⵖⵜ,367758,2.46,36.15,21.49,28,2.5,78754,56.24,38.94,2.35
11331,Marrakech-Safi,مراكش-اسفي,ⵎⵕⵕⴰⴽⵛ ⴰⵙⴼⵉ,4520569,115,40.46,37.79,13.1,2.47,928120,52.92,41.88,1.27
11337,Oriental,الشرقية,ⵜⴰⴳⵎⵓⴹⴰⵏⵜ,2314346,34.56,42.98,34.43,21.5,2.09,494530,53.8,40.84,1.38
11330,Rabat-Salé-Kenitra,الرباط-سلا-القنيطرة,ⴻⵕⵕⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ,4580866,255,39.5,29.45,16.9,2.07,1015107,52.41,42.02,1.81
11329,Souss-Massa , سوس- ماسة,ⵙⵓⵙ ⵎⴰⵙⵙⴰ,2676847,49.73,39.69,33.14,14.4,2.18,601511,52.51,42.3,1.33
11326,Tangier-Tetouan-Al Hoceima,طنجة - تطوان - الحسيمة,ⵟⴰⵏⵊⴰ ⵜⵉⵟⵡⴰⵏ ⵍⵃⵓⵙⵉⵎⴰ,3556729,218,39.95,31,14.9,2.23,799124,56.11,39.41,1.15
