"Name","Gross Export","Share","Code","Sector"
"Horses","102177","0.00024231539705122526","0101","Agriculture"
"Fowl","349643","0.0008291874137152349","0105","Agriculture"
"Other live animals","12229960","0.029003666317474606","0106","Agriculture"
"Beef","78441","0.0001860248594115619","0201","Agriculture"
"Beef (frozen)","41352","0.00009806733706080886","0202","Agriculture"
"Pork","32666","0.00007746826350426539","0203","Agriculture"
"Lamb","4696","0.000011136685404274482","0204","Agriculture"
"Edible offal","22023","0.00005222811385398998","0206","Agriculture"
"Poultry","2958672","0.007016567137656642","0207","Agriculture"
"Preserved meat","107131","0.0002540639361254961","0210","Agriculture"
"Live Fish","3863464","0.009162304756971872","0301","Agriculture"
"Fish, excluding fillets","91863664","0.217857054099654","0302","Agriculture"
"Frozen fish, excluding fillets","267689200","0.634831858288312","0303","Agriculture"
"Fish fillets","65819144","0.15609180159851796","0304","Agriculture"
"Preserved fish","11531656","0.027347620328431486","0305","Agriculture"
"Crustaceans","65864152","0.15619853923409627","0306","Agriculture"
"Molluscs","362508768","0.8596989151420623","0307","Agriculture"
"Milk","1118347","0.0026521888227883637","0401","Agriculture"
"Milk, concentrated","1645891","0.0039032730572246023","0402","Agriculture"
"Fermented milk products","1911196","0.0045324507235749096","0403","Agriculture"
"Whey","1613666","0.0038268506366213773","0404","Agriculture"
"Butter","121123","0.0002872463258564604","0405","Agriculture"
"Cheese","22962694","0.05445662246861611","0406","Agriculture"
"Eggs, in shell","16303359","0.03866383735433285","0407","Agriculture"
"Egg yolks","48764","0.00011564508668101383","0408","Agriculture"
"Honey","142143","0.00033709579928019334","0409","Agriculture"
"Edible animal products, n.e.c.","4200","0.000009960408581335782","0410","Agriculture"
"Human hair, unworked","1366","0.000003239504314786828","0501","Agriculture"
"Animal guts, except fish","90156224","0.21380781599772167","0504","Agriculture"
"Feathers and down","2525","0.000005988102778064963","0505","Agriculture"
"Bones, simply prepared","5045","0.000011964347926866431","0506","Agriculture"
"Whalebone & horns","4909","0.000011641820410899368","0507","Agriculture"
"Coral and shells","41115","0.0000975052854337192","0508","Agriculture"
"Animal products n.e.c.","5709998","0.013541407875859559","0511","Agriculture"
"Flower bulbs","1365610","0.0032385794197042754","0601","Agriculture"
"Other live plants","21572932","0.051160765956517446","0602","Agriculture"
"Cut flowers","7445008","0.017656028945550843","0603","Agriculture"
"Other parts of plants","48388","0.00011475339296039899","0604","Agriculture"
"Potatoes","12177777","0.028879912983903216","0701","Agriculture"
"Tomatoes","880365568","2.0878097043380355","0702","Agriculture"
"Onions, shallots, garlic","28748738","0.06817837539947001","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","12876525","0.030537011930424934","0704","Agriculture"
"Lettuce","2725858","0.006464442717786379","0705","Agriculture"
"Carrots & turnips","9820245","0.023288964897338046","0706","Agriculture"
"Cucumbers","6402960","0.015184785173797559","0707","Agriculture"
"Legumes","265488432","0.6296126800805193","0708","Agriculture"
"Other vegetables","256595456","0.6085227575890876","0709","Agriculture"
"Frozen vegetables","5850879","0.013875510809513648","0710","Agriculture"
"Vegetables, provisionally preserved","28223096","0.06693180180720561","0711","Agriculture"
"Vegetables, dried","1441058","0.003417506302238709","0712","Agriculture"
"Legumes, dried","2330929","0.005527858384305817","0713","Agriculture"
"Tubers","1032585","0.0024488020226091922","0714","Agriculture"
"Cashew nuts & coconuts","120095","0.00028480839727988586","0801","Agriculture"
"Other nuts","6635348","0.015735899323654573","0802","Agriculture"
"Bananas and plantains","556892","0.001320683775161249","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","114270712","0.27099594771432134","0804","Agriculture"
"Citrus fruit","484020960","1.1478682198881864","0805","Agriculture"
"Grapes","16509517","0.039152746381073564","0806","Agriculture"
"Melons and papayas","246832160","0.5853688487175349","0807","Agriculture"
"Apples & pears","526536","0.0012486937363767182","0808","Agriculture"
"Peaches & cherries","5870922","0.013923043302179292","0809","Agriculture"
"Other fresh fruit","617126016","1.463530301317134","0810","Agriculture"
"Fruits and nuts, frozen","135532752","0.3214194252554415","0811","Agriculture"
"Fruits and nuts, provisionally preserved","176864","0.0004194375484117552","0812","Agriculture"
"Fruits, dried","15506369","0.036773754964990274","0813","Agriculture"
"Peel of citrus fruit or melons","826303","0.001959598926662738","0814","Agriculture"
