Country,Gross Export,Share
Albania,3006572,0.01069804
Algeria,133687454,0.475689172
Andorra,397879,0.00141574
Angola,14034025,0.049936127
Argentina,240094937,0.854310246
Armenia,319833,0.001138036
Australia,45269367,0.161078299
Austria,173315566,0.616694653
Azerbaijan,937074,0.003334314
Bahrain,32322303,0.115009816
Bangladesh,112039776,0.398662003
Belarus,21512030,0.076544503
Belgium,392191094,1.395501605
Benin,39615749,0.140961491
Bolivia,700381,0.002492109
Bosnia and Herzegovina,4583500,0.016309094
Botswana,649077,0.002309558
Brazil,1188320870,4.228305301
Bulgaria,60025322,0.213583211
Burkina Faso,59438047,0.211493558
Burundi,355128,0.001263623
Cabo Verde,1909829,0.006795589
Cameroon,63372883,0.225494565
Canada,227986598,0.81122613
Central African Republic,4142781,0.01474092
Chad,6957882,0.024757664
Chile,8471323,0.030142818
China,446403043,1.588399565
Colombia,27519806,0.097921483
Comoros,2181715,0.007763019
Costa Rica,3331909,0.01185566
Côte d'Ivoire,249845655,0.889005431
Croatia,23679779,0.084257828
Cuba,590452,0.002100957
Curaçao,413690,0.001471999
Cyprus,1961669,0.006980047
Czechia,116386050,0.414126996
Democratic Republic of the Congo,17261812,0.061421299
Denmark,35603528,0.126685132
Djibouti,248682302,0.884865967
Dominican Republic,7535668,0.026813553
Ecuador,1530864,0.005447149
Egypt,111560759,0.396957556
El Salvador,2109095,0.007504621
Equatorial Guinea,9538091,0.033938612
Estonia,4051607,0.014416503
Eswatini,230263,0.000819326
Ethiopia,45784028,0.162909575
Finland,14587864,0.051906808
France,5209930754,18.53807198
French Polynesia,930989,0.003312662
Gabon,52195243,0.185722079
Georgia,3372984,0.012001814
Germany,1315272438,4.680026718
Ghana,127367253,0.453200516
Greece,60891019,0.21666355
Guatemala,6205277,0.022079731
Guinea,87981185,0.31305628
Guinea-Bissau,3670708,0.013061181
Guyana,438703,0.001561001
Haiti,916939,0.003262669
Hong Kong,52984318,0.18852978
Hungary,60135641,0.21397575
Iceland,3161119,0.011247952
India,1062913734,3.782079309
Indonesia,41456030,0.147509613
Iraq,5009767,0.017825846
Ireland,84410332,0.300350405
Israel,8484203,0.030188648
Italy,1193113767,4.245359475
Jamaica,220857,0.000785857
Japan,224879764,0.800171336
Jordan,23518902,0.083685392
Kazakhstan,2546754,0.009061907
Kenya,16050306,0.057110496
Kuwait,17311909,0.061599555
Latvia,2881945,0.01025459
Lebanon,37065712,0.131887902
Liberia,4913941,0.017484876
Libya,67882706,0.2415415
Lithuania,31773322,0.113056422
Luxembourg,5597988,0.019918864
Madagascar,7288385,0.025933666
Malaysia,25958096,0.092364577
Maldives,106898,0.000380366
Mali,64829113,0.230676149
Malta,9204180,0.032750484
Mauritania,168293533,0.598825162
Mauritius,5573277,0.019830937
Mexico,220472366,0.784488851
Moldova,933634,0.003322074
Mongolia,580242,0.002064628
Montenegro,171426,0.000609971
Mozambique,34623832,0.123199159
Myanmar,168205,0.00059851
Namibia,13771344,0.049001451
Netherlands,720529404,2.563801053
New Caledonia,2462384,0.0087617
New Zealand,25127232,0.089408182
Nicaragua,8341614,0.029681285
Niger,29294753,0.104237132
Nigeria,116824046,0.415685481
North Macedonia,6502182,0.023136184
Norway,72842378,0.259189097
Oman,40172325,0.14294191
Pakistan,283773660,1.009728686
Palestine,4829263,0.017183573
Paraguay,12115939,0.043111158
Peru,20999264,0.07471997
Philippines,7103203,0.025274748
Poland,402322880,1.431552714
Portugal,221468152,0.788032075
Qatar,32787943,0.116666665
Republic of the Congo,25153532,0.089501763
Romania,188140661,0.66944558
Russia,282183908,1.004072001
Rwanda,2473527,0.00880135
Saint Lucia,179336,0.000638117
Saudi Arabia,123959964,0.441076637
Senegal,195932890,0.697172033
Serbia,54785283,0.194938007
Sierra Leone,10090309,0.035903524
Singapore,162942060,0.579783452
Slovakia,74992006,0.266837943
Slovenia,42369275,0.150759138
Somalia,482769,0.001717798
South Africa,49352659,0.175607544
South Korea,119145083,0.423944238
Spain,7249229299,25.79434178
Sri Lanka,2037301,0.007249162
Sudan,5271053,0.018755558
Suriname,468653,0.00166757
Sweden,98687965,0.351153343
Switzerland,216096981,0.768920275
Syria,47612399,0.169415319
Taiwan,26788323,0.095318706
Tanzania,27133383,0.096546505
Thailand,32015681,0.113918788
The Gambia,11202210,0.039859911
Togo,48928779,0.174099286
Tonga,187626,0.000667614
Trinidad and Tobago,3156221,0.011230524
Tunisia,88827340,0.316067084
Turkiye,553324289,1.96884872
Turkmenistan,219288,0.000780275
Uganda,2739636,0.009748223
Ukraine,68252402,0.242856959
United Arab Emirates,116641231,0.415034986
United Kingdom,666738872,2.372402587
United States of America,877082297,3.120850453
Uruguay,29012558,0.103233021
Uzbekistan,1001833,0.003564741
Venezuela,1180590,0.004200797
Vietnam,9376066,0.033362091
Yemen,3762293,0.013387061
Zambia,2990214,0.010639835
Zimbabwe,398842,0.001419167
