"Name","Gross Import","Share","Code","Sector"
"Horses","10075833","0.021308739082075152","0101","Agriculture"
"Bovine","50771484","0.10737338593898421","0102","Agriculture"
"Fowl","24818938","0.05248799519962271","0105","Agriculture"
"Other live animals","5999532","0.01268802906941396","0106","Agriculture"
"Beef","80393","0.0001700180482373286","0201","Agriculture"
"Beef (frozen)","9256713","0.019576434233740586","0202","Agriculture"
"Pork","389910","0.0008245958875550956","0203","Agriculture"
"Lamb","122636","0.0002593550851894199","0204","Agriculture"
"Edible offal","128204","0.00027113049464777376","0206","Agriculture"
"Poultry","1705066","0.003605935758534063","0207","Agriculture"
"Other meat","2446089","0.005173078223163695","0208","Agriculture"
"Pig and poultry fat","72882","0.00015413351152006996","0209","Agriculture"
"Preserved meat","231819","0.0004902592753638909","0210","Agriculture"
"Live Fish","502064","0.0010617832568784117","0301","Agriculture"
"Fish, excluding fillets","7912614","0.016733884650844747","0302","Agriculture"
"Frozen fish, excluding fillets","34118080","0.07215415982989858","0303","Agriculture"
"Fish fillets","2186208","0.004623472406811958","0304","Agriculture"
"Preserved fish","6154540","0.013015845640771814","0305","Agriculture"
"Crustaceans","72341640","0.15299073848578187","0306","Agriculture"
"Molluscs","42523016","0.08992922500074256","0307","Agriculture"
"Milk","4985926","0.010544418135605724","0401","Agriculture"
"Milk, concentrated","24659768","0.05215137667888165","0402","Agriculture"
"Fermented milk products","961201","0.0020327829286600637","0403","Agriculture"
"Whey","53109372","0.11231763674138581","0404","Agriculture"
"Butter","61511132","0.13008598519160486","0405","Agriculture"
"Cheese","96796376","0.20470850601378973","0406","Agriculture"
"Eggs, in shell","163674","0.0003461437441965908","0407","Agriculture"
"Egg yolks","779634","0.0016487984155269919","0408","Agriculture"
"Honey","7770824","0.016434021987931674","0409","Agriculture"
"Edible animal products, n.e.c.","850943","0.0017996052892816179","0410","Agriculture"
"Brushmaking hair","284736","0.0006021700767840981","0502","Agriculture"
"Animal guts, except fish","77400400","0.16368918862075715","0504","Agriculture"
"Feathers and down","114033","0.00024116114704821683","0505","Agriculture"
"Coral and shells","6645","0.000014053088335266113","0508","Agriculture"
"Animal products n.e.c.","3028804","0.006405425156088389","0511","Agriculture"
"Flower bulbs","290848","0.0006150959572814867","0601","Agriculture"
"Other live plants","78567736","0.1661579133649161","0602","Agriculture"
"Cut flowers","688310","0.0014556630898490623","0603","Agriculture"
"Other parts of plants","137067","0.0002898742902708684","0604","Agriculture"
"Potatoes","23532868","0.04976816746217565","0701","Agriculture"
"Tomatoes","116070","0.00024546906893519","0702","Agriculture"
"Onions, shallots, garlic","16307173","0.034487004163651844","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","48349","0.00010225022843066687","0704","Agriculture"
"Lettuce","280933","0.0005941273536932001","0705","Agriculture"
"Carrots & turnips","52213","0.00011042195654616246","0706","Agriculture"
"Cucumbers","2190","0.000004631491866701699","0707","Agriculture"
"Legumes","88821","0.0001878418899964893","0708","Agriculture"
"Other vegetables","2419452","0.0051167453241439086","0709","Agriculture"
"Frozen vegetables","1032646","0.0021838774201744485","0710","Agriculture"
"Vegetables, provisionally preserved","540104","0.0011422316361520796","0711","Agriculture"
"Vegetables, dried","2771738","0.005861772604396362","0712","Agriculture"
"Legumes, dried","91880376","0.19431196993310226","0713","Agriculture"
"Tubers","170266","0.0003600847461990098","0714","Agriculture"
"Cashew nuts & coconuts","18818244","0.039797508690231985","0801","Agriculture"
"Other nuts","129242768","0.27332731909681035","0802","Agriculture"
"Bananas and plantains","10596597","0.022410069780920375","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","154311408","0.3263433931923687","0804","Agriculture"
"Citrus fruit","3324926","0.007031674760906398","0805","Agriculture"
"Grapes","27004372","0.0571098307230078","0806","Agriculture"
"Melons and papayas","334750","0.0007079415079353396","0807","Agriculture"
"Apples & pears","32587120","0.06891642978960377","0808","Agriculture"
"Peaches & cherries","320651","0.0006781244285615372","0809","Agriculture"
"Other fresh fruit","13672222","0.028914513695315086","0810","Agriculture"
