"Country","Gross Import","Share"
"Angola","8340324","0.020778404178568438"
"Albania","2322274","0.00578552437355921"
"United Arab Emirates","414291164","1.0321312760992958"
"Argentina","487571392","1.2146956699623697"
"Australia","16537073","0.04119911729142553"
"Austria","149748696","0.3730717092887009"
"Belgium","738601985","1.840092851479504"
"Burkina Faso","399622","0.0009955857152129674"
"Bangladesh","41042882","0.10225089467139302"
"Bulgaria","100629787","0.2507008584665598"
"Bahrain","68706921","0.17117082914320494"
"Bosnia and Herzegovina","2662144","0.00663224882073537"
"Belarus","59419052","0.1480317884968708"
"Belize","421770","0.00105076343921349"
"Bolivia","186640","0.0004649797005353765"
"Brazil","656957325","1.6366899927294363"
"Central African Republic","1987173","0.004950681024710597"
"Canada","452758848","1.127966532135566"
"Switzerland","305531245","0.7611756686899954"
"Chile","23156713","0.0576907494434401"
"China","4193951261","10.448468717315391"
"Côte d'Ivoire","11598378","0.028895254656751496"
"Cameroon","1253450","0.0031227432792331105"
"Democratic Republic of the Congo","33812007","0.08423648140462953"
"Republic of the Congo","1872353","0.004664627824884879"
"Colombia","22413457","0.05583906195790044"
"Costa Rica","6499562","0.016192479599073686"
"Cuba","1413666","0.003521892377502377"
"Curaçao","869831","0.0021670261353214054"
"Cyprus","937933","0.0023366899135354013"
"Czechia","333440969","0.8307076827681406"
"Germany","2210501432","5.507063297708856"
"Dominica","102352","0.0002549914397192288"
"Denmark","141839201","0.3533666374043993"
"Dominican Republic","660119","0.0016445667324138033"
"Algeria","422506528","1.0525983651075959"
"Ecuador","19058998","0.04748203591161777"
"Egypt","465569559","1.1598820945253285"
"Spain","8437779495","21.02119686438406"
"Estonia","55282169","0.13772549499874664"
"Ethiopia","1438177","0.0035829570873171144"
"Finland","158129823","0.39395176673945614"
"Falkland Islands","6771840","0.01687081084051374"
"France","4707663876","11.728290501948617"
"Gabon","13904889","0.03464150837546962"
"United Kingdom","555701539","1.384429571320552"
"Georgia","3815525","0.009505688340576739"
"Ghana","4251514","0.010591875838737467"
"Gibraltar","936256","0.002332511972269875"
"Guinea","6828650","0.01701234264927614"
"Equatorial Guinea","152520","0.000379975910446076"
"Greece","64881920","0.16164153306772533"
"Greenland","1304726","0.003250488130951134"
"Guatemala","16924000","0.042163075717213415"
"Hong Kong","41521489","0.1034432571849707"
"Honduras","5144148","0.012815711511731975"
"Croatia","18164668","0.045253974962304634"
"Hungary","164717469","0.4103636916446912"
"Indonesia","76163406","0.189747308795726"
"India","555311102","1.3834568683665343"
"Ireland","122979661","0.3063815149149278"
"Iran","9608054","0.02393672348718242"
"Iraq","752267","0.0018741367573009329"
"Iceland","598520","0.0014911039989521729"
"Israel","12241000","0.030496230787899398"
"Italy","1958066708","4.8781679785369185"
"Jordan","22632973","0.0563859462482065"
"Japan","225840499","0.5626406321998499"
"Kazakhstan","27201118","0.06776665078154435"
"Kenya","7551501","0.018813194779107353"
"Cambodia","4950095","0.012332263666532707"
"South Korea","274872311","0.6847944966472722"
"Kuwait","16915768","0.042142567182629154"
"Laos","235560","0.000586855005669274"
"Lebanon","15484111","0.038575853492480335"
"Liberia","667690","0.001663428505413982"
"Libya","12089883","0.030119750197426808"
"Sri Lanka","8479851","0.021126010386651378"
"Lithuania","45284907","0.11281913038808603"
"Luxembourg","15791221","0.03934096234284156"
"Latvia","70438299","0.17548424333069712"
"Macao","705198","0.001756872882866194"
"Moldova","2795533","0.0069645633153491366"
"Madagascar","18233744","0.04542606528481954"
"Mexico","71613474","0.17841197864776026"
"North Macedonia","3093980","0.0077080898728163535"
"Mali","2511990","0.006258167370059261"
"Malta","2044316","0.005093042442561502"
"Myanmar","2963746","0.0073836354883354055"
"Mongolia","204257","0.0005088692600313673"
"Mozambique","646091","0.001609618515316127"
"Mauritania","1591794","0.003965665974249941"
"Mauritius","785594","0.0019571649317530466"
"Malawi","3356373","0.008361794430052631"
"Malaysia","78023113","0.19438043140579642"
"Namibia","148879","0.0003709050194813884"
"Niger","239567","0.0005968377192357402"
"Nigeria","22421819","0.055859894363900646"
"Netherlands","939364890","2.3402572077027806"
"Norway","110454953","0.27517847711417215"
