year,pop,pop_male,pop_female,pop_growth_%,pop_M_0to4,pop_M_5to9,pop_M_10to14,pop_M_15to19,pop_M_20to24,pop_M_25to29,pop_M_30to34,pop_M_35to39,pop_M_40to44,pop_M_45to49,pop_M_50to54,pop_M_55to59,pop_M_60to64,pop_M_65to69,pop_M_70to74,pop_M_75to79,pop_M_80to84,pop_M_85to89,pop_M_90to94,pop_M_95to99,pop_M_100+,pop_F_0to4,pop_F_5to9,pop_F_10to14,pop_F_15to19,pop_F_20to24,pop_F_25to29,pop_F_30to34,pop_F_35to39,pop_F_40to44,pop_F_45to49,pop_F_50to54,pop_F_55to59,pop_F_60to64,pop_F_65to69,pop_F_70to74,pop_F_75to79,pop_F_80to84,pop_F_85to89,pop_F_90to94,pop_F_95to99,pop_F_100+,urban_pop,urban_pop_growth_%,rural_pop,rural_pop_growth_%,life_exp_total,life_exp_female,life_exp_male,fertility_rate,suicide_rate(per100k),suicide_rate_F(per100k),suicide_rate_M(per100k),deaths_5-9,deaths_10-14,deaths_15-19,deaths_20-24,net migration
1960,11769774,5875029,5894745,,1155,901,655,512,491,464,424,320,220,167,160,146,110,76,40,25,7,2,0,0,0,1127,879,638,515,488,462,426,330,225,173,168,160,124,85,47,29,12,3,0,0,0,3455253,,8314521,,42.017,42.761,41.264,7.04,,,,,,,,-19418
1961,12081713,6033311,6048401,2.615826736,1185,934,699,518,487,465,433,338,233,170,156,147,113,79,42,25,8,2,0,0,0,1156,909,679,523,488,463,433,347,238,175,164,160,128,89,49,29,13,4,1,0,0,3606271,4.277859274,8475442,1.916930105,43.795,44.693,42.892,7.072,,,,,,,,-41561
1962,12404757,6196550,6208208,2.638704099,1215,968,743,527,482,467,438,357,247,174,153,146,117,81,45,24,9,2,0,0,0,1185,938,720,533,491,468,438,363,253,178,159,158,133,92,52,29,13,4,1,0,0,3764224,4.286745663,8640533,1.929146543,44.297,45.196,43.397,7.088,,,,,,,,-29267
1963,12726686,6359011,6367675,2.562102067,1242,1002,786,540,476,468,441,375,263,181,150,145,122,83,48,23,10,2,0,0,0,1211,966,762,545,495,474,441,378,268,182,155,156,137,96,56,28,14,4,1,0,0,3925674,4.199632513,8801012,1.840244414,44.82,45.737,43.903,7,,,,,,,,-57523
1964,13044254,6519024,6525230,2.464668154,1265,1035,821,563,472,468,443,391,280,190,149,143,126,86,51,23,11,2,0,0,0,1234,993,794,567,501,479,444,390,283,189,151,152,140,100,60,29,14,4,1,0,0,4089765,4.094945495,8954489,1.728825592,45.392,46.322,44.467,6.969,,,,,,,,-47413
1965,13381880,6689578,6692302,2.555382276,1288,1068,853,599,473,465,444,404,297,200,149,141,128,89,53,24,12,2,0,0,0,1255,1023,820,600,508,484,448,400,299,198,150,149,142,104,63,30,14,4,1,0,0,4263735,4.165802552,9118145,1.811141348,45.973,46.923,45.032,6.93,,,,,,,,-34401
1966,13738502,6870056,6868445,2.630070305,1311,1100,887,641,478,461,446,413,315,212,152,138,128,93,56,25,12,3,0,0,0,1277,1054,849,637,516,487,452,409,315,210,151,144,142,108,66,31,14,5,1,0,0,4448115,4.233487422,9290387,1.871382538,46.562,47.522,45.615,6.895,,,,,,,,-28290
1967,14109755,7058131,7051624,2.666414604,1333,1130,924,686,487,456,448,419,334,226,157,135,128,97,57,27,11,3,0,0,0,1297,1085,880,678,524,489,457,415,332,224,154,140,141,113,69,33,14,5,1,0,0,4641545,4.256687402,9468210,1.895966173,47.19,48.172,46.223,6.844,,,,,,,,-24525
1968,14490077,7250855,7239222,2.659766819,1356,1158,961,732,502,452,450,421,352,242,163,133,126,100,59,29,11,3,0,0,0,1318,1114,913,720,535,492,462,419,348,240,160,137,138,116,72,36,14,5,1,0,0,4842439,4.237123447,9647638,1.877324717,47.778,48.784,46.79,6.782,,,,,,,,-26517
1969,14876982,7446910,7430072,2.635111592,1379,1182,997,773,528,450,450,424,368,259,172,132,125,103,61,31,11,4,0,0,0,1340,1139,945,756,556,496,467,422,361,257,168,134,135,119,75,38,15,5,1,0,0,5050140,4.199744625,9826842,1.840450255,48.315,49.344,47.308,6.72,,,,,,,,-25803
