Year,gov_exp_edu_(%gdp),primary_total_teachers,primary_female_teachers_%,primary_duration,primary_total_pupils,primary_female_pupils_%,primary_school_startAge,outOf_school_primary_total,outOf_school_primary_male,outOf_school_primary_female,primary_pupil_teacher_ratio,secondary_total_teachers,secondary_female_teachers,secondary_male_teachers,secondary_duration,secondary_total_pupils,secondary_female_pupils_%,outOf_school_lowerSecondary_total,outOf_school_lowerSecondary_female,outOf_school_lowerSecondary_male,secondary_pupil_teacher_ratio,tertiary_enroll(%gross),tertiary_enroll_male(%gross),tertiary_enroll_female(%gross),tertiary_pupil_teacher_ratio,literacy rate adult,literacy rate male,literacy rate female,literacy rate youth total,literacy rate youth male,literacy rate youth female
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,5,,,7,1527415,,,,,,,7,,,,,,,,,,,,,,,,
1971,,34277,18.26881027,5,1175277,33.86087,7,1535708,,,34.28763,14680,4378,10302,7,298880,28.27188,,,,20.35967,1.470649958,2.471029997,0.485000014,25.9629,,,,,,
1972,,34882,19.12161064,5,1231936,34.33661,7,1559917,,,35.31724,15761,4754,11007,7,313424,29.35512,,,,19.88605,1.421049953,2.375540018,0.468039989,24.52457,,,,,,
1973,4.671689987,36446,,5,1275857,35.06177,7,,,,35.00678,,,,7,335190,,,,,,1.708179951,2.871700048,0.536059976,,,,,,,
1974,4.275489807,37585,19.69668961,5,1337931,35.46992,7,1534307,646969,887338,35.59747,,,,7,361725,32.13989,,,,,1.791859984,2.935739994,0.632200003,14.69488,,,,,,
1975,5.212709904,38486,20.6646595,5,1413993,35.69028,7,1469874,612823,857051,36.74045,,,,7,403673,32.4525,,,,,2.231080055,3.604500055,0.831709981,17.74701,,,,,,
1976,6.027120113,,,5,1547647,35.89895,7,1385574,550679,834895,,,,,7,486173,34.32153,,,,,2.786279917,4.484489918,1.049520016,27.60171,,,,,,
1977,6.084249973,,,5,1667773,35.97672,7,1310688,502116,808572,,,,,7,529027,35.095,,,,,2.618530035,4.145969868,1.059090018,,,,,,,
