Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1130,Ischaemic heart disease,MAR,2019,MLE,ALLAges,18100000,39270.01,216.96,911001.7,5033.16
1140,Stroke,MAR,2019,MLE,ALLAges,18100000,13815.28,76.33,323539.2,1787.51
680,"Trachea, bronchus, lung cancers",MAR,2019,MLE,ALLAges,18100000,5982.8,33.05,177394.2,980.08
1530,Road injury,MAR,2019,MLE,ALLAges,18100000,5233.84,28.92,275284.5,1520.91
1120,Hypertensive heart disease,MAR,2019,MLE,ALLAges,18100000,4634.28,25.6,98927.21,546.56
1270,Kidney diseases,MAR,2019,MLE,ALLAges,18100000,4316.94,23.85,122830.8,678.62
490,Neonatal conditions,MAR,2019,MLE,ALLAges,18100000,4156.95,22.97,421522.3,2328.85
1180,Chronic obstructive pulmonary disease,MAR,2019,MLE,ALLAges,18100000,3715.68,20.53,107262.7,592.61
390,Lower respiratory infections,MAR,2019,MLE,ALLAges,18100000,3609.03,19.94,143594,793.34
800,Diabetes mellitus,MAR,2019,MLE,ALLAges,18100000,2822.69,15.59,165138.6,912.37
1230,Cirrhosis of the liver,MAR,2019,MLE,ALLAges,18100000,2663.08,14.71,74000.73,408.84
30,Tuberculosis,MAR,2019,MLE,ALLAges,18100000,2030.61,11.22,72169.6,398.73
740,Prostate cancer,MAR,2019,MLE,ALLAges,18100000,1914.1,10.58,29678.58,163.97
950,Alzheimer disease and other dementias,MAR,2019,MLE,ALLAges,18100000,1903.62,10.52,42487.26,234.74
1610,Self-harm,MAR,2019,MLE,ALLAges,18100000,1752.45,9.68,84135.12,464.83
1190,Asthma,MAR,2019,MLE,ALLAges,18100000,1520.37,8.4,53632.21,296.31
650,Colon and rectum cancers,MAR,2019,MLE,ALLAges,18100000,1439.12,7.95,39777.62,219.77
760,"Lymphomas, multiple myeloma",MAR,2019,MLE,ALLAges,18100000,1318.4,7.28,35525.13,196.27
1400,Congenital anomalies,MAR,2019,MLE,ALLAges,18100000,1169.69,6.46,120851.4,667.69
640,Stomach cancer,MAR,2019,MLE,ALLAges,18100000,1115.46,6.16,32128.32,177.5
753,Larynx cancer,MAR,2019,MLE,ALLAges,18100000,1066.58,5.89,30787.85,170.1
1550,Falls,MAR,2019,MLE,ALLAges,18100000,1046.72,5.78,78772.45,435.21
1575,Exposure to mechanical forces,MAR,2019,MLE,ALLAges,18100000,1028.9,5.68,75947.13,419.6
750,Bladder cancer,MAR,2019,MLE,ALLAges,18100000,904.68,5,20938.54,115.68
960,Parkinson disease,MAR,2019,MLE,ALLAges,18100000,857.06,4.74,15908.65,87.89
770,Leukaemia,MAR,2019,MLE,ALLAges,18100000,601.53,3.32,21371.64,118.08
110,Diarrhoeal diseases,MAR,2019,MLE,ALLAges,18100000,599.8,3.31,69803.86,385.66
1150,"Cardiomyopathy, myocarditis, endocarditis",MAR,2019,MLE,ALLAges,18100000,532.29,2.94,17557.12,97
620,Mouth and oropharynx cancers,MAR,2019,MLE,ALLAges,18100000,529.66,2.93,15641.78,86.42
670,Pancreas cancer,MAR,2019,MLE,ALLAges,18100000,527.81,2.92,15329.08,84.69
1220,Peptic ulcer disease,MAR,2019,MLE,ALLAges,18100000,525.09,2.9,12817.71,70.82
751,Brain and nervous system cancers,MAR,2019,MLE,ALLAges,18100000,462.21,2.55,21739.31,120.11
1620,Interpersonal violence,MAR,2019,MLE,ALLAges,18100000,457.66,2.53,32458.43,179.33
1560,"Fire, heat and hot substances",MAR,2019,MLE,ALLAges,18100000,430.63,2.38,23169.52,128.01
170,Meningitis,MAR,2019,MLE,ALLAges,18100000,292.13,1.61,19462.13,107.53
690,Melanoma and other skin cancers,MAR,2019,MLE,ALLAges,18100000,283.17,1.56,6112.21,33.77
745,Kidney cancer,MAR,2019,MLE,ALLAges,18100000,276.9,1.53,7744.05,42.78
1242,Paralytic ileus and intestinal obstruction,MAR,2019,MLE,ALLAges,18100000,276.81,1.53,9248.89,51.1
1110,Rheumatic heart disease,MAR,2019,MLE,ALLAges,18100000,262.12,1.45,12611.07,69.67
1570,Drowning,MAR,2019,MLE,ALLAges,18100000,261.13,1.44,16253.35,89.8
630,Oesophagus cancer,MAR,2019,MLE,ALLAges,18100000,257.12,1.42,6755.95,37.33
660,Liver cancer,MAR,2019,MLE,ALLAges,18100000,242.76,1.34,6309.41,34.86
190,Acute hepatitis B,MAR,2019,MLE,ALLAges,18100000,228.4,1.26,7360.61,40.67
100,HIV/AIDS,MAR,2019,MLE,ALLAges,18100000,213,1.18,11341.3,62.66
870,Drug use disorders,MAR,2019,MLE,ALLAges,18100000,211.72,1.17,33731.08,186.36
130,Whooping cough,MAR,2019,MLE,ALLAges,18100000,173.35,0.96,15339.82,84.75
1246,Gallbladder and biliary diseases,MAR,2019,MLE,ALLAges,18100000,162.49,0.9,5206.36,28.76
970,Epilepsy,MAR,2019,MLE,ALLAges,18100000,134.85,0.75,24139.59,133.37
1248,Pancreatitis,MAR,2019,MLE,ALLAges,18100000,121.97,0.67,3370.13,18.62
1540,Poisonings,MAR,2019,MLE,ALLAges,18100000,118.77,0.66,6996.33,38.65
752,Gallbladder and biliary tract cancer,MAR,2019,MLE,ALLAges,18100000,113.9,0.63,2963.32,16.37
550,Protein-energy malnutrition,MAR,2019,MLE,ALLAges,18100000,86.1,0.48,9726.17,53.74
860,Alcohol use disorders,MAR,2019,MLE,ALLAges,18100000,85.34,0.47,15778.99,87.18
50,Syphilis,MAR,2019,MLE,ALLAges,18100000,85.49,0.47,7587.71,41.92
1505,Sudden infant death syndrome,MAR,2019,MLE,ALLAges,18100000,84.21,0.47,7541.37,41.67
180,Encephalitis,MAR,2019,MLE,ALLAges,18100000,71.05,0.39,4057.53,22.42
1330,Skin diseases,MAR,2019,MLE,ALLAges,18100000,66.23,0.37,29845.03,164.89
754,Thyroid cancer,MAR,2019,MLE,ALLAges,18100000,65.76,0.36,1803.08,9.96
1240,Appendicitis,MAR,2019,MLE,ALLAges,18100000,64.04,0.35,2660.07,14.7
186,Acute hepatitis A,MAR,2019,MLE,ALLAges,18100000,53.26,0.29,2587.31,14.29
160,Tetanus,MAR,2019,MLE,ALLAges,18100000,46.35,0.26,2616.34,14.45
980,Multiple sclerosis,MAR,2019,MLE,ALLAges,18100000,39.04,0.22,2671.11,14.76
755,Mesothelioma,MAR,2019,MLE,ALLAges,18100000,36.99,0.2,1015.5,5.61
811,Thalassaemias,MAR,2019,MLE,ALLAges,18100000,32.33,0.18,8842.4,48.85
1244,Inflammatory bowel disease,MAR,2019,MLE,ALLAges,18100000,33.26,0.18,1380.35,7.63
250,Schistosomiasis,MAR,2019,MLE,ALLAges,18100000,31.46,0.17,2788.05,15.4
742,Testicular cancer,MAR,2019,MLE,ALLAges,18100000,27.55,0.15,1286.88,7.11
295,Echinococcosis,MAR,2019,MLE,ALLAges,18100000,23.45,0.13,1632.21,9.02
1630,Collective violence and legal intervention,MAR,2019,MLE,ALLAges,18100000,19.59,0.11,2979.61,16.46
1241,Gastritis and duodenitis,MAR,2019,MLE,ALLAges,18100000,18.76,0.1,2676.72,14.79
812,Sickle cell disorders and trait,MAR,2019,MLE,ALLAges,18100000,15.58,0.09,1967,10.87
260,Leishmaniasis,MAR,2019,MLE,ALLAges,18100000,10.29,0.06,2655.67,14.67
1350,Rheumatoid arthritis,MAR,2019,MLE,ALLAges,18100000,8.01,0.04,1520.09,8.4
200,Acute hepatitis C,MAR,2019,MLE,ALLAges,18100000,4.55,0.03,169.83,0.94
205,Acute hepatitis E,MAR,2019,MLE,ALLAges,18100000,2.7,0.01,163.68,0.9
400,Upper respiratory infections,MAR,2019,MLE,ALLAges,18100000,2.51,0.01,16465.81,90.97
320,Rabies,MAR,2019,MLE,ALLAges,18100000,1.43,0.01,59.51,0.33
340,Ascariasis,MAR,2019,MLE,ALLAges,18100000,2.51,0.01,599.45,3.31
1290,Urolithiasis,MAR,2019,MLE,ALLAges,18100000,2.03,0.01,807.77,4.46
1310,Infertility,MAR,2019,MLE,ALLAges,18100000,0,0,8302.06,45.87
1320,Gynecological diseases,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
1280,Benign prostatic hyperplasia,MAR,2019,MLE,ALLAges,18100000,0,0,3129.06,17.29
1370,Gout,MAR,2019,MLE,ALLAges,18100000,0,0,3823.59,21.12
1380,Back and neck pain,MAR,2019,MLE,ALLAges,18100000,0,0,109856.7,606.94
1470,Oral conditions,MAR,2019,MLE,ALLAges,18100000,0,0,66083.33,365.1
1360,Osteoarthritis,MAR,2019,MLE,ALLAges,18100000,0,0,26764.26,147.87
850,Schizophrenia,MAR,2019,MLE,ALLAges,18100000,0,0,30875.28,170.58
880,Anxiety disorders,MAR,2019,MLE,ALLAges,18100000,0,0,63011.23,348.13
890,Eating disorders,MAR,2019,MLE,ALLAges,18100000,0.01,0,5254.6,29.03
900,Autism and Asperger syndrome,MAR,2019,MLE,ALLAges,18100000,0,0,11893.21,65.71
